Region,Year,B_predicted
Arbon,2024,0.604776
Arbon,2025,0.606478
Arbon,2026,0.607517
Arbon,2027,0.608151
Arbon,2028,0.608537
Arbon,2029,0.608773
Arbon,2030,0.608916
Arbon,2031,0.609003
Arbon,2032,0.609056
Arbon,2033,0.609088
Arbon,2034,0.609107
Arbon,2035,0.609119
Arbon,2036,0.609126
Arbon,2037,0.609131
Arbon,2038,0.609134
Arbon,2039,0.609135
Arbon,2040,0.609136
Arbon,2041,0.609137
Arbon,2042,0.609137
Arbon,2043,0.609137
Arbon,2044,0.609138
Arbon,2045,0.609138
Arbon,2046,0.609138
Arbon,2047,0.609138
Arbon,2048,0.609138
Arbon,2049,0.609138
Arbon,2050,0.609138
Arlesheim,2019,0.595294
Arlesheim,2020,0.613396
Arlesheim,2021,0.624194
Arlesheim,2022,0.630507
Arlesheim,2023,0.634155
Arlesheim,2024,0.636249
Arlesheim,2025,0.637446
Arlesheim,2026,0.638128
Arlesheim,2027,0.638517
Arlesheim,2028,0.638739
Arlesheim,2029,0.638865
Arlesheim,2030,0.638936
Arlesheim,2031,0.638977
Arlesheim,2032,0.639000
Arlesheim,2033,0.639014
