Region,Year,B_predicted
Mittelland,2040,0.428491
Mittelland,2041,0.428513
Mittelland,2042,0.428529
Mittelland,2043,0.428540
Mittelland,2044,0.428547
Mittelland,2045,0.428553
Mittelland,2046,0.428556
Mittelland,2047,0.428559
Mittelland,2048,0.428561
Mittelland,2049,0.428562
Mittelland,2050,0.428563
Moesa,2019,0.360875
Moesa,2020,0.396418
Moesa,2021,0.426818
Moesa,2022,0.451891
Moesa,2023,0.471961
Moesa,2024,0.487647
Moesa,2025,0.499681
Moesa,2026,0.508784
Moesa,2027,0.515598
Moesa,2028,0.520658
Moesa,2029,0.524396
Moesa,2030,0.527145
Moesa,2031,0.529162
Moesa,2032,0.530639
Moesa,2033,0.531718
Moesa,2034,0.532507
Moesa,2035,0.533083
Moesa,2036,0.533504
Moesa,2037,0.533811
Moesa,2038,0.534035
Moesa,2039,0.534199
Moesa,2040,0.534318
Moesa,2041,0.534406
Moesa,2042,0.534470
Moesa,2043,0.534517
Moesa,2044,0.534551
Moesa,2045,0.534576
Moesa,2046,0.534594
Moesa,2047,0.534608
Moesa,2048,0.534617
Moesa,2049,0.534625
Moesa,2050,0.534630
Monthey,2019,0.554076
Monthey,2020,0.577172
Monthey,2021,0.594493
Monthey,2022,0.607242
Monthey,2023,0.616500
Monthey,2024,0.623160
Monthey,2025,0.627919
Monthey,2026,0.631304
Monthey,2027,0.633706
Monthey,2028,0.635406
Monthey,2029,0.636609
Monthey,2030,0.637460
Monthey,2031,0.638061
Monthey,2032,0.638487
Monthey,2033,0.638788
Monthey,2034,0.639001
Monthey,2035,0.639152
Monthey,2036,0.639259
Monthey,2037,0.639335
Monthey,2038,0.639388
Monthey,2039,0.639427
Monthey,2040,0.639454
Monthey,2041,0.639473
Monthey,2042,0.639487
Monthey,2043,0.639497
Monthey,2044,0.639504
Monthey,2045,0.639509
Monthey,2046,0.639512
Monthey,2047,0.639515
Monthey,2048,0.639517
Monthey,2049,0.639518
Monthey,2050,0.639519
Morges,2019,0.635838
Morges,2020,0.649013
Morges,2021,0.657826
Morges,2022,0.663665
Morges,2023,0.667510
Morges,2024,0.670036
Morges,2025,0.671692
Morges,2026,0.672778
Morges,2027,0.673490
Morges,2028,0.673958
Morges,2029,0.674265
Morges,2030,0.674468
Morges,2031,0.674601
Morges,2032,0.674690
Morges,2033,0.674748
Morges,2034,0.674787
Morges,2035,0.674812
Morges,2036,0.674829
Morges,2037,0.674841
Morges,2038,0.674848
Morges,2039,0.674853
Morges,2040,0.674857
Morges,2041,0.674859
Morges,2042,0.674860
Morges,2043,0.674861
Morges,2044,0.674862
Morges,2045,0.674863
Morges,2046,0.674863
Morges,2047,0.674863
Morges,2048,0.674863
Morges,2049,0.674863
Morges,2050,0.674863
Muri,2019,0.669056
Muri,2020,0.676793
Muri,2021,0.681772
Muri,2022,0.684962
Muri,2023,0.687001
Muri,2024,0.688304
Muri,2025,0.689137
Muri,2026,0.689671
Muri,2027,0.690013
Muri,2028,0.690233
Muri,2029,0.690374
Muri,2030,0.690465
Muri,2031,0.690524
Muri,2032,0.690562
Muri,2033,0.690587
Muri,2034,0.690603
Muri,2035,0.690613
Muri,2036,0.690620
Muri,2037,0.690624
Muri,2038,0.690627
Muri,2039,0.690629
Muri,2040,0.690631
Muri,2041,0.690631
Muri,2042,0.690632
Muri,2043,0.690632
Muri,2044,0.690633
Muri,2045,0.690633
Muri,2046,0.690633
Muri,2047,0.690633
Muri,2048,0.690633
Muri,2049,0.690633
Muri,2050,0.690633
MÃ¼nchwilen,2019,0.539809
MÃ¼nchwilen,2020,0.576093
MÃ¼nchwilen,2021,0.602002
MÃ¼nchwilen,2022,0.619888
MÃ¼nchwilen,2023,0.631961
MÃ¼nchwilen,2024,0.639991
MÃ¼nchwilen,2025,0.645284
MÃ¼nchwilen,2026,0.648756
MÃ¼nchwilen,2027,0.651026
MÃ¼nchwilen,2028,0.652510
MÃ¼nchwilen,2029,0.653479
MÃ¼nchwilen,2030,0.654112
MÃ¼nchwilen,2031,0.654527
MÃ¼nchwilen,2032,0.654799
MÃ¼nchwilen,2033,0.654977
MÃ¼nchwilen,2034,0.655094
MÃ¼nchwilen,2035,0.655171
MÃ¼nchwilen,2036,0.655222
MÃ¼nchwilen,2037,0.655256
MÃ¼nchwilen,2038,0.655278
MÃ¼nchwilen,2039,0.655293
MÃ¼nchwilen,2040,0.655303
MÃ¼nchwilen,2041,0.655309
MÃ¼nchwilen,2042,0.655314
MÃ¼nchwilen,2043,0.655316
MÃ¼nchwilen,2044,0.655318
MÃ¼nchwilen,2045,0.655320
MÃ¼nchwilen,2046,0.655321
MÃ¼nchwilen,2047,0.655321
MÃ¼nchwilen,2048,0.655322
MÃ¼nchwilen,2049,0.655322
MÃ¼nchwilen,2050,0.655322
Nyon,2019,0.605047
Nyon,2020,0.629207
Nyon,2021,0.646246
Nyon,2022,0.658032
Nyon,2023,0.666080
Nyon,2024,0.671531
Nyon,2025,0.675203
Nyon,2026,0.677671
Nyon,2027,0.679327
Nyon,2028,0.680438
Nyon,2029,0.681183
Nyon,2030,0.681683
Nyon,2031,0.682020
Nyon,2032,0.682246
Nyon,2033,0.682398
Nyon,2034,0.682501
Nyon,2035,0.682570
Nyon,2036,0.682617
Nyon,2037,0.682649
Nyon,2038,0.682671
Nyon,2039,0.682685
Nyon,2040,0.682695
Nyon,2041,0.682702
Nyon,2042,0.682707
Nyon,2043,0.682710
Nyon,2044,0.682712
Nyon,2045,0.682713
Nyon,2046,0.682714
Nyon,2047,0.682715
Nyon,2048,0.682716
Nyon,2049,0.682716
Nyon,2050,0.682716
Oberaargau,2019,0.605183
Oberaargau,2020,0.611659
Oberaargau,2021,0.615887
Oberaargau,2022,0.618637
Oberaargau,2023,0.620421
Oberaargau,2024,0.621579
Oberaargau,2025,0.622331
Oberaargau,2026,0.622819
Oberaargau,2027,0.623136
Oberaargau,2028,0.623343
Oberaargau,2029,0.623478
Oberaargau,2030,0.623567
Oberaargau,2031,0.623625
Oberaargau,2032,0.623662
Oberaargau,2033,0.623687
Oberaargau,2034,0.623704
Oberaargau,2035,0.623715
Oberaargau,2036,0.623722
Oberaargau,2037,0.623727
Oberaargau,2038,0.623730
Oberaargau,2039,0.623732
Oberaargau,2040,0.623733
Oberaargau,2041,0.623734
Oberaargau,2042,0.623735
Oberaargau,2043,0.623735
Oberaargau,2044,0.623735
Oberaargau,2045,0.623736
Oberaargau,2046,0.623736
Oberaargau,2047,0.623736
Oberaargau,2048,0.623736
Oberaargau,2049,0.623736
Oberaargau,2050,0.623736
Oberklettgau,2019,0.342552
Oberklettgau,2020,0.372689
Oberklettgau,2021,0.395100
Oberklettgau,2022,0.411067
Oberklettgau,2023,0.422108
Oberklettgau,2024,0.429592
Oberklettgau,2025,0.434598
Oberklettgau,2026,0.437921
Oberklettgau,2027,0.440116
Oberklettgau,2028,0.441562
Oberklettgau,2029,0.442514
Oberklettgau,2030,0.443141
Oberklettgau,2031,0.443554
Oberklettgau,2032,0.443827
Oberklettgau,2033,0.444007
Oberklettgau,2034,0.444126
Oberklettgau,2035,0.444205
Oberklettgau,2036,0.444257
Oberklettgau,2037,0.444291
Oberklettgau,2038,0.444315
Oberklettgau,2039,0.444330
Oberklettgau,2040,0.444340
Oberklettgau,2041,0.444347
Oberklettgau,2042,0.444352
Oberklettgau,2043,0.444355
Oberklettgau,2044,0.444357
Oberklettgau,2045,0.444358
Oberklettgau,2046,0.444359
Oberklettgau,2047,0.444360
Oberklettgau,2048,0.444360
Oberklettgau,2049,0.444361
Oberklettgau,2050,0.444361
Obersimmental-Saanen,2019,0.565488
Obersimmental-Saanen,2020,0.583195
