Region,Year,Mean_NDVI,Mean_NO2,r_estimated,K_estimated,B0_estimated,r0_global,alpha_global
Bremgarten,2013,0.6591011284357697,16.67318152181961,0.6482268446744732,0.6461697222973654,0.571054495114163,0.269650773891944,-0.0408556911033377
Bremgarten,2014,0.6548530983698353,17.063120325919645,0.6482268446744732,0.6461697222973654,0.571054495114163,0.269650773891944,-0.0408556911033377
Bremgarten,2015,0.6405360759958849,15.997450709586076,0.6482268446744732,0.6461697222973654,0.571054495114163,0.269650773891944,-0.0408556911033377
Bremgarten,2016,0.6541145736739296,17.402073417043784,0.6482268446744732,0.6461697222973654,0.571054495114163,0.269650773891944,-0.0408556911033377
Bremgarten,2017,0.616304306313151,15.505132556528888,0.6482268446744732,0.6461697222973654,0.571054495114163,0.269650773891944,-0.0408556911033377
Bremgarten,2018,0.6449710666774091,15.33395648991308,0.6482268446744732,0.6461697222973654,0.571054495114163,0.269650773891944,-0.0408556911033377
Brig,2010,0.2011149192519968,3.3703652588570554,0.434939525902869,0.2414777657132281,0.1835785075308187,0.269650773891944,-0.0408556911033377
Brig,2011,0.1621500834502094,3.147916090804856,0.434939525902869,0.2414777657132281,0.1835785075308187,0.269650773891944,-0.0408556911033377
Brig,2013,0.2616832214740624,3.1085104398605563,0.434939525902869,0.2414777657132281,0.1835785075308187,0.269650773891944,-0.0408556911033377
Brig,2014,0.2203520115368174,3.093670070727973,0.434939525902869,0.2414777657132281,0.1835785075308187,0.269650773891944,-0.0408556911033377
Brig,2015,0.2336390801945257,2.781957861754797,0.434939525902869,0.2414777657132281,0.1835785075308187,0.269650773891944,-0.0408556911033377
Brig,2016,0.2424602413206538,2.8121906345438874,0.434939525902869,0.2414777657132281,0.1835785075308187,0.269650773891944,-0.0408556911033377
Brig,2017,0.1943508430088331,2.634971018820625,0.434939525902869,0.2414777657132281,0.1835785075308187,0.269650773891944,-0.0408556911033377
Brig,2018,0.2659274685432389,2.9563437320675185,0.434939525902869,0.2414777657132281,0.1835785075308187,0.269650773891944,-0.0408556911033377
Broye-Vully,2010,0.5316703997933437,13.977475817444056,0.9229143437047228,0.6290568786188597,0.5254974170613989,0.269650773891944,-0.0408556911033377
Broye-Vully,2011,0.5643943368047544,13.817884136317783,0.9229143437047228,0.6290568786188597,0.5254974170613989,0.269650773891944,-0.0408556911033377
Broye-Vully,2013,0.6535802834130524,13.486305193829628,0.9229143437047228,0.6290568786188597,0.5254974170613989,0.269650773891944,-0.0408556911033377
Broye-Vully,2014,0.6461330484134258,13.754036854199416,0.9229143437047228,0.6290568786188597,0.5254974170613989,0.269650773891944,-0.0408556911033377
Broye-Vully,2015,0.5918775261256088,12.60974413713599,0.9229143437047228,0.6290568786188597,0.5254974170613989,0.269650773891944,-0.0408556911033377
Broye-Vully,2016,0.6480732036354346,12.55448760857368,0.9229143437047228,0.6290568786188597,0.5254974170613989,0.269650773891944,-0.0408556911033377
Broye-Vully,2017,0.6307418879285199,11.991011536944756,0.9229143437047228,0.6290568786188597,0.5254974170613989,0.269650773891944,-0.0408556911033377
Broye-Vully,2018,0.6040721944754338,12.110566084918776,0.9229143437047228,0.6290568786188597,0.5254974170613989,0.269650773891944,-0.0408556911033377
Brugg,2010,0.588213650916956,19.2727440698058,0.6078344800814384,0.6471198261639708,0.5680738672000545,0.269650773891944,-0.0408556911033377
Brugg,2011,0.5514064434778264,18.29156144890816,0.6078344800814384,0.6471198261639708,0.5680738672000545,0.269650773891944,-0.0408556911033377
Brugg,2013,0.674045142003542,17.737757923348266,0.6078344800814384,0.6471198261639708,0.5680738672000545,0.269650773891944,-0.0408556911033377
Brugg,2014,0.6677427394307965,18.14089928372368,0.6078344800814384,0.6471198261639708,0.5680738672000545,0.269650773891944,-0.0408556911033377
Brugg,2015,0.6624572006016367,17.0432707167127,0.6078344800814384,0.6471198261639708,0.5680738672000545,0.269650773891944,-0.0408556911033377
Brugg,2016,0.5836343524286692,18.43153680314421,0.6078344800814384,0.6471198261639708,0.5680738672000545,0.269650773891944,-0.0408556911033377
